price,date
558.46,2013/7/2
556.6179265,2013/7/3
558.4418985,2013/7/5
556.181508,2013/7/8
558.7421181,2013/7/9
556.714543,2013/7/10
556.5015554,2013/7/11
557.7667856,2013/7/12
551.0495722,2013/7/15
554.834074,2013/7/16
554.807049,2013/7/17
557.61461,2013/7/18
559.157022,2013/7/19
559.3257378,2013/7/22
564.3591483,2013/7/23
558.0703167,2013/7/24
554.2349205,2013/7/25
551.3644407,2013/7/26
547.2972487,2013/7/29
547.8566211,2013/7/30
550.0680695,2013/7/31
558.6246937,2013/8/1
561.2672553,2013/8/2
564.4366607,2013/8/5
566.3118659,2013/8/6
567.9156994,2013/8/7
570.3672658,2013/8/8
571.935506,2013/8/9
575.8192093,2013/8/12
577.7113326,2013/8/13
574.7454583,2013/8/14
574.0377684,2013/8/15
578.0630316,2013/8/16
576.2470017,2013/8/19
574.2508776,2013/8/20
569.2433911,2013/8/21
567.5823873,2013/8/22
566.3056246,2013/8/23
570.4879765,2013/8/26
570.6910231,2013/8/27
568.9574869,2013/8/28
569.4149933,2013/8/29
563.4763256,2013/8/30
564.9886111,2013/9/3
565.3935821,2013/9/4
564.5086178,2013/9/5
563.2773582,2013/9/6
562.6809349,2013/9/9
557.6975553,2013/9/10
558.1594,2013/9/11
557.0955721,2013/9/12
560.77107,2013/9/13
565.3904705,2013/9/16
562.2432824,2013/9/17
562.0242524,2013/9/18
561.7622379,2013/9/19
560.9457943,2013/9/20
564.6374335,2013/9/23
567.0214682,2013/9/24
561.3826141,2013/9/25
561.0827906,2013/9/26
561.8452616,2013/9/27
563.8704537,2013/9/30
561.4426702,2013/10/1
565.4686031,2013/10/2
572.9527014,2013/10/3
568.8660654,2013/10/4
563.8002689,2013/10/7
563.6416054,2013/10/8
566.9120623,2013/10/9
564.6853072,2013/10/10
564.2719443,2013/10/11
563.0932781,2013/10/14
567.7860241,2013/10/15
569.1579104,2013/10/16
567.6665131,2013/10/17
563.7016476,2013/10/18
562.3774465,2013/10/21
562.437354,2013/10/22
564.3972161,2013/10/23
561.181942,2013/10/24
569.1999603,2013/10/25
572.5214448,2013/10/28
573.9615935,2013/10/29
570.9731904,2013/10/30
568.3219266,2013/10/31
568.9153333,2013/11/1
567.975621,2013/11/4
563.3944009,2013/11/5
565.8222348,2013/11/6
556.3892771,2013/11/7
556.0358051,2013/11/8
556.080383,2013/11/11
556.8478978,2013/11/12
558.9777706,2013/11/13
549.5825372,2013/11/14
550.2552812,2013/11/15
549.7332567,2013/11/18
549.1215113,2013/11/19
554.7732908,2013/11/20
555.3122544,2013/11/21
