price,date,ticker
104,2016/7/1,A
104.8781507,2016/7/5,A
104.4119093,2016/7/6,A
104.9319566,2016/7/7,A
104.4212736,2016/7/8,A
104.482338,2016/7/11,A
103.4068676,2016/7/12,A
103.9591304,2016/7/13,A
104.2846923,2016/7/14,A
104.6667671,2016/7/15,A
104.1715661,2016/7/18,A
104.1399108,2016/7/19,A
104.795824,2016/7/20,A
105.8767547,2016/7/21,A
105.9370938,2016/7/22,A
105.9982434,2016/7/25,A
106.6619207,2016/7/26,A
106.4312873,2016/7/27,A
107.2494282,2016/7/28,A
106.9225223,2016/7/29,A
107.1916401,2016/8/1,A
107.7673998,2016/8/2,A
106.7976004,2016/8/3,A
106.3701747,2016/8/4,A
107.2570608,2016/8/5,A
106.3252073,2016/8/8,A
106.3976189,2016/8/9,A
105.405829,2016/8/10,A
104.7658133,2016/8/11,A
104.5465805,2016/8/12,A
104.1673185,2016/8/15,A
104.2078,2016/8/16,A
104.7355761,2016/8/17,A
104.1535431,2016/8/18,A
104.1953437,2016/8/19,A
104.2475736,2016/8/22,A
104.8659431,2016/8/23,A
105.5339054,2016/8/24,A
104.8916689,2016/8/25,A
105.414041,2016/8/26,A
105.8415934,2016/8/29,A
104.2588369,2016/8/30,A
104.3431456,2016/8/31,A
105.0531392,2016/9/1,A
104.7155556,2016/9/2,A
105.5884345,2016/9/6,A
105.8257599,2016/9/7,A
106.4057684,2016/9/8,A
106.3389547,2016/9/9,A
106.4593557,2016/9/12,A
104.9749361,2016/9/13,A
104.513241,2016/9/14,A
104.5644711,2016/9/15,A
104.4242671,2016/9/16,A
104.3601788,2016/9/19,A
104.6570298,2016/9/20,A
103.8770651,2016/9/21,A
105.3257495,2016/9/22,A
106.2302517,2016/9/23,A
106.4946661,2016/9/26,A
107.2886219,2016/9/27,A
106.90268,2016/9/28,A
106.5662959,2016/9/29,A
105.0877342,2016/9/30,A
104.7124725,2016/10/3,A
104.1167206,2016/10/4,A
103.8441002,2016/10/5,A
102.9642308,2016/10/6,A
104.1617979,2016/10/7,A
104.9305073,2016/10/10,A
105.970058,2016/10/11,A
104.9828157,2016/10/12,A
105.811527,2016/10/13,A
106.222628,2016/10/14,A
106.2731338,2016/10/17,A
106.4538414,2016/10/18,A
107.729946,2016/10/19,A
108.0135278,2016/10/20,A
108.654095,2016/10/21,A
108.7707283,2016/10/24,A
109.5040784,2016/10/25,A
109.9479924,2016/10/26,A
110.1384286,2016/10/27,A
110.4116413,2016/10/28,A
110.9918015,2016/10/31,A
111.6892479,2016/11/1,A
112.1523894,2016/11/2,A
111.340453,2016/11/3,A
111.6093091,2016/11/4,A
110.4412952,2016/11/7,A
110.0386938,2016/11/8,A
109.9118534,2016/11/9,A
110.8208301,2016/11/10,A
109.801989,2016/11/11,A
109.6117422,2016/11/14,A
109.1918643,2016/11/15,A
108.9466789,2016/11/16,A
109.2002854,2016/11/17,A
109.1554085,2016/11/18,A
108.62401,2016/11/21,A
108.9954376,2016/11/22,A
107.7470041,2016/11/23,A
107.9749433,2016/11/25,A
